"pois"
"1.3"
"UruBots"
"Uruguay"
"2026-05-09"
"17-37-16"
"Mision_10"
detection,time,type,name,x,y,z,robot,mode
1,17:37:24,real_object,fire_extinguisher,-2.7250,-0.9250,1.1250,"""UruBots_Go2""",T
2,17:37:54,real_object,fire_extinguisher,-8.4000,5.8750,0.5750,"""UruBots_Go2""",T
3,17:37:55,real_object,fire_extinguisher,-6.7750,6.4750,0.4750,"""UruBots_Go2""",T
4,17:38:05,real_object,fire_extinguisher,-8.6250,7.8250,0.0250,"""UruBots_Go2""",T
